,Product name,Price
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 59.52
1,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
2,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
3,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
4,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
5,P47 Wireless Headset - White,GH₵ 29.47
6,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
7,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 18.00
8,Wireless Headphone Bluetooth 5.0 In-ear Stereo,GH₵ 45.00
9,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
10,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00
11,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00
12,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 33.00
13,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 29.00
14,Smart Bluetooth watches for ios and Android bands,GH₵ 30.00
15,Lenovo XT90 BT5.0 True Wireless Headsets In-ear Sweatproof white,GH₵ 51.15
16,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00
17,Wireless Bluetooth Earphones - White,GH₵ 45.00
18,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 554.00
19,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 58.00
20,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00
21,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00
22,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00
23,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 34.00
24,Heart Rate Sport Bracelet Smart Watch - Black,GH₵ 32.00
25,Bluetooth Wireless  Headphone Stereo In-ear Headphone LED digital display,GH₵ 37.00
26,Color screen smart watch heart rate sport bracelet,GH₵ 33.00
27,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00
28,T7S Wireless  Bluetooth Earpiece  - White,GH₵ 28.00
29,New I5 Smartwatch - Pink,GH₵ 47.00
30,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00
31,Wireless Bluetooth Earphone For iPhone Samsung Pods - Pink,GH₵ 34.00
32,LED Bluetooth headset noise reduction stereo headset,GH₵ 34.00
33,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
34,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00
35,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
36,Bluetooth 4.0 Headset Universal V9 Business Wireless,GH₵ 29.00
37,"GT20 1.69 inch TFT Screen IP67 Waterproof Smart Watch, Style:Steel Strap(Black)",GH₵ 121.00
38,2Pcs Portable Speaker High-Volume Subwoofer USB-Black,GH₵ 35.00
39,10000mAh Ultra Slim Fast Charging Power Bank Android and Apple Universal,GH₵ 43.00
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
